point,L0Bar,L0Y,Class,true_Strength,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,true_Toughness,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,test
94,1.9,1.1,1,68.81050163065262,68.29351534591764,1.5663511270773562,2.323111649044972,12.446708860384476,11.903972247530593,1.6085510426233962,1.992885402874252,False
95,1.9,1.2,1,70.00787075196287,68.77118549991971,1.9500538665271385,2.5628606197763615,12.489846976718844,12.669982629363378,1.4631028215508535,1.9113394057324666,True
96,1.9,1.3,1,66.38616410370926,69.89100289392982,2.0687229550684707,2.637008622671035,16.596393354324523,14.536757721464028,1.5189109317463243,1.9426283961438275,True
97,1.9,1.4,1,75.13777001557544,71.44887617007318,2.1055928107516753,2.660046013448434,18.43361001536898,17.874138357521353,1.9920562489923161,2.2078987886125487,True
98,1.9,1.5,1,68.53814320899697,72.01225235827766,6.67253077473176,5.513605719142516,19.49220034806418,18.652348476062187,1.672303390567889,2.028628354867256,False
99,1.9,1.6,1,76.35579220454977,73.49901930886901,3.2346430313432757,3.365510427591121,10.67473266747813,12.128232557404328,1.1393634417325336,1.729833916379103,False
100,1.9,1.7,1,26.590473482268628,32.15401900072824,12.662406762224247,9.256259745718571,17.3409152302523,15.885958039869536,2.800522132560199,2.6611676986377613,False
101,1.9,1.8,1,15.04936161152886,17.216834447431033,2.6124596709542516,2.9767516179110864,16.756088065827463,16.825732560686554,1.7010503973028204,2.0447454535279017,False
102,1.9,2.2,2,17.088880431403968,23.82319268967899,12.799682846481566,9.342033957166533,18.899387459468134,16.08066257389255,6.699883083406543,4.84735653345282,False
103,1.9,2.3,2,50.1758077798978,46.14621257204174,9.737364299594047,7.42860555495932,1.09322872802545,4.9886548171622564,5.484918363720461,4.166182787714968,False
104,1.9,2.4,2,21.4725090184733,20.37497344042726,2.941449432924663,3.1823142806293023,20.378480371159398,18.936180230321025,2.3809934011820966,2.4259576116557224,False
105,2.0,1.0,1,64.4252724511907,67.02254723278688,2.1656684295166846,2.6975830604489737,11.742895108603914,11.149492033614901,1.770243144239246,2.083538582122413,False
106,2.0,1.1,1,61.0428787454959,67.03687417184749,2.3805232629238016,2.831830799310276,11.43990210389649,11.287855587522724,1.732276794621625,2.062252630224394,False
107,2.0,1.2,1,67.92914865962737,67.07363102804085,3.1620943030716497,3.3201798079663165,10.209380580032068,11.612980699567023,1.6766024062857168,2.031038611389153,False
108,2.0,1.3,1,66.91419695119404,67.58328790292421,3.3204888825774947,3.419149488142206,11.52766858628333,12.40688020914531,1.8299798268569512,2.117030138870801,False
109,2.0,1.4,1,68.4593351558459,69.08685756593495,1.8775910231225499,2.517583663590351,16.625114688629026,14.161711040342462,2.3868794463504828,2.429257641170956,True
110,2.0,1.5,1,70.53891120146032,70.91271620075413,2.60868231652106,2.9743914136583256,15.518504087807024,17.055345941920695,1.9475103827474565,2.1829240102708463,False
111,2.0,1.6,1,67.36796029221762,73.32302822289292,7.863475090791186,6.257743419027287,20.69771237531105,17.27053235284091,2.759412003222941,2.638119176870262,True
112,2.0,1.7,1,69.86265452997606,71.75813950961637,3.9955203971990794,3.840929408384232,15.447604729134476,13.368572167533827,2.0606628611408504,2.246363298916746,False
113,2.0,1.8,1,35.91462169927672,30.611158879976955,5.876166448710248,5.016013422135103,17.810556668787925,17.077194676737676,1.6799757046625374,2.0329298616070393,False
114,2.0,1.9,1,16.65076077812998,15.864882065506066,7.339847138172826,5.93056498171288,14.91835246331919,17.724459811798294,2.3800834127202988,2.425447423796719,False
115,2.0,2.3,2,16.65625431634737,23.772330371425465,12.006589338937399,8.846485365566377,15.639161704669801,14.86195479182133,5.8974063849423874,4.397445478668111,False
116,2.0,2.4,2,46.6101304496425,42.25402574325763,10.377563839934622,7.828621413796965,1.8767043955324498,7.050280958027793,6.191170312587704,4.562145137608434,True
117,2.0,2.5,2,26.151753430429398,22.332614773038706,4.179924355240337,3.9561505277397586,19.496886376894068,18.940309262214978,2.5073580994170674,2.49680437241433,False
