kappa,L0Bar,L0Y,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,p_Bar_dominant,p_Balanced,p_Y_dominant,p_Expanded,type,type_name,feasible,lcb_Strength,lcb_Toughness
1.645,1.2800000000000002,2.3800000000000012,93.22070705247424,1.0251560298439832,1.9849567333082887,5.074026946695468,0.3829443133896902,1.3057451814122263,0.10508489670798929,0.01615568593479951,0.7708640280114473,0.10789538934576391,3,Y-dominant,True,89.9554532261821,2.9260761232723556
1.645,1.1,2.240000000000001,98.12581003448413,1.9945910148586854,2.590688764780255,5.091699900577771,1.0353390571553762,1.6715123218979024,0.09121005202157047,0.011645110803243807,0.7452996020324519,0.1518452351427338,3,Y-dominant,True,93.86412701642061,2.3420621310557213
1.645,1.2600000000000002,2.3800000000000012,93.41284089556748,1.1913881317534012,2.0888235323633277,5.098716206211684,0.47058390872001077,1.354880592884527,0.10428724041469899,0.016435724985711657,0.7629622060866013,0.11631482851298812,3,Y-dominant,True,89.97672618482981,2.869937630916637
1.645,1.08,2.240000000000001,98.15459324412993,1.846617318696777,2.4982303648193653,5.120612532569934,1.1069635134346636,1.711668795892312,0.09064487626490883,0.01215437586068731,0.7353889214443071,0.16181182643009676,3,Y-dominant,True,94.04500429400207,2.304917363327081
1.645,1.06,2.280000000000001,96.88968175476818,0.9045569593718455,1.9096028198639428,5.125398773333458,1.046021530782858,1.677501483934194,0.09262800011975748,0.014942475461118673,0.714663968492216,0.17776555592690782,3,Y-dominant,True,93.748385116092,2.365908832261709
1.645,1.06,2.240000000000001,98.18266827955696,1.7090561044540085,2.4122779956114817,5.126482803696332,1.1614821606276597,1.7422348448641776,0.09006099513570591,0.012708040876284441,0.7249946282864741,0.17223633570153554,3,Y-dominant,True,94.21447097677607,2.2605064838947597
1.645,1.1,2.260000000000001,97.36250900829833,1.530370494875906,2.3006298717479625,5.150544970085237,1.0651218425126494,1.688210133061968,0.09242162797489444,0.012668504459538918,0.7392484040372432,0.15566146352832344,3,Y-dominant,True,93.57797286927294,2.3734393011982995
1.645,1.3000000000000003,2.4000000000000012,92.71603922311698,1.1007671861822947,2.0322008497665527,5.172038103925191,0.3761103155262325,1.301913679272626,0.10669833561530848,0.017064257423326623,0.7685176681785973,0.10771973878276754,3,Y-dominant,True,89.373068825251,3.030390101521721
1.645,1.2800000000000002,2.4000000000000012,92.93574561544693,1.150727892199776,2.06341779615031,5.176541907336176,0.4430965850434981,1.3394697394451969,0.10584917106576279,0.01733729617260346,0.7606162507441824,0.11619728201745134,3,Y-dominant,True,89.54142334077967,2.9731141859488273
1.645,1.1800000000000002,2.180000000000001,96.50693930053095,1.2327127655606598,2.1146444020171353,5.236858596419802,0.7519557459463336,1.5126325878215627,0.08941247839332023,0.007603918631852967,0.7953267687797998,0.10765683419502697,3,Y-dominant,True,93.02834925921276,2.7485779894533313
1.645,1.3000000000000003,2.4200000000000013,92.47100697461278,1.1819265750039736,2.082911668154475,5.273801768351495,0.4291543908598661,1.3316530049491344,0.10735194079978846,0.01824674722446518,0.7575585063166443,0.116842805659102,3,Y-dominant,True,89.04461728049867,3.083232575210169
1.645,1.3200000000000003,2.4200000000000013,92.21989554050255,1.2386932596433629,2.1183811939484345,5.283360925707969,0.40272999354665023,1.3168380844785554,0.10825553846895405,0.017975436892929398,0.7654839209719042,0.10828510366621229,3,Y-dominant,True,88.73515847645737,3.1171622767407454
1.645,1.3200000000000003,2.4400000000000013,92.01335922149096,1.282106499273099,2.1455070871132045,5.384547521085957,0.4394735034761757,1.3374384475053254,0.10881227002469367,0.01915674262425673,0.7539489034751734,0.11808208387587615,3,Y-dominant,True,88.48400006318974,3.1844612749396966
